Date,Description,Amount,Currency,Category,Counterparty,Reference,Balance
2025-01-26,Business Cards,-75.00,EUR,Marketing,Vistaprint,VP-ORD-2345,20672.81
2025-01-27,Mailchimp,-29.99,EUR,Marketing,Mailchimp,MC-PRO-JAN,20642.82
2025-01-27,Co-working Day Pass,-35.00,EUR,Office Expenses,Spaces,SPC-DAY-001,20607.82
2025-01-28,Client Payment - SEO Audit,1800.00,EUR,Income,Marketing Agency,INV-2025-005,22407.82
2025-01-28,Sentry Error Tracking,-26.00,EUR,Software & Hosting,Sentry,SNT-TEAM-01,22381.82
2025-01-29,Water Bill,-34.56,EUR,Utilities,Waternet,WAT-2025-01,22347.26
2025-01-29,Canva Pro,-12.99,EUR,Software & Hosting,Canva,CNV-PRO-JAN,22334.27
2025-01-30,Equipment Purchase,-899.00,EUR,Equipment,Apple Store,APL-MBP-001,21435.27
2025-01-30,AppleCare+,-12.49,EUR,Insurance,Apple Inc,APC-PLUS-01,21422.78
2025-01-31,Bank Service Fee,-9.95,EUR,Bank Fees,ABN AMRO,ABN-FEE-JAN,21412.83
2025-01-31,Interest Received,12.34,EUR,Income,ABN AMRO,INT-2025-01,21425.17
2025-02-01,Office Rent,-2200.00,EUR,Rent,WeWork Amsterdam,RENT-FEB-25,19225.17
2025-02-01,AWS Cloud Services,-512.45,EUR,Software & Hosting,Amazon Web Services,AWS-INV-98567,18712.72
2025-02-02,Google Workspace,-14.40,EUR,Software & Hosting,Google LLC,GWS-2025-02,18698.32
2025-02-02,Figma Subscription,-15.00,EUR,Software & Hosting,Figma Inc,FIG-PRO-2025-02,18683.32
2025-02-03,Client Payment - Branding,4200.00,EUR,Income,Fashion Startup,INV-2025-007,22883.32
2025-02-03,Notion Team Plan,-96.00,EUR,Software & Hosting,Notion Labs,NOT-TEAM-02,22787.32
2025-02-04,LinkedIn Ads,-250.00,EUR,Marketing,LinkedIn Corp,LI-ADS-FEB,22537.32
2025-02-04,Google Ads,-180.00,EUR,Marketing,Google LLC,GADS-FEB-25,22357.32
2025-02-05,Electricity Bill,-162.34,EUR,Utilities,Vattenfall,ELEC-2025-02,22194.98
2025-02-05,Internet Service,-59.99,EUR,Utilities,KPN Business,KPN-BUS-FEB,22134.99
2025-02-06,Slack Business,-12.50,EUR,Software & Hosting,Slack Technologies,SLK-BUS-02,22122.49
2025-02-06,Standing Desk,-549.00,EUR,Equipment,IKEA Business,IKEA-ORD-789,21573.49
2025-02-07,GitHub Team,-21.00,EUR,Software & Hosting,GitHub Inc,GH-TEAM-FEB,21552.49
2025-02-07,Client Dinner,-156.00,EUR,Meals & Entertainment,Ciel Bleu,POS-3345678,21396.49
2025-02-08,Monthly Salary,8500.00,EUR,Income,TechCorp Inc,SAL-2025-003,29896.49
2025-02-08,Zoom Pro,-15.99,EUR,Software & Hosting,Zoom Video,ZM-PRO-FEB,29880.50
2025-02-09,OpenAI API,-198.34,EUR,Software & Hosting,OpenAI,OAI-API-FEB,29682.16
2025-02-09,Flight Amsterdam-London,-234.00,EUR,Travel,KLM,KLM-TKT-2345,29448.16
2025-02-10,Hotel London,-189.00,EUR,Travel,Premier Inn,HTL-LON-001,29259.16
2025-02-10,Dropbox Business,-12.99,EUR,Software & Hosting,Dropbox Inc,DBX-BUS-02,29246.17
2025-02-11,Adobe Creative Cloud,-59.99,EUR,Software & Hosting,Adobe Inc,ADO-CC-FEB,29186.18
2025-02-11,Phone Bill,-45.00,EUR,Utilities,T-Mobile Business,TMO-BUS-FEB,29141.18
2025-02-12,Client Payment - Workshop,2500.00,EUR,Income,Corporate Training,INV-2025-009,31641.18
2025-02-12,Anthropic API,-156.78,EUR,Software & Hosting,Anthropic,ANT-API-FEB,31484.40
2025-02-13,Conference Ticket,-450.00,EUR,Professional Development,Web Summit,WS-TKT-2025,31034.40
2025-02-13,Vercel Pro,-20.00,EUR,Software & Hosting,Vercel Inc,VRC-PRO-02,31014.40
2025-02-14,1Password Business,-7.99,EUR,Software & Hosting,1Password,1PW-BUS-FEB,31006.41
2025-02-14,Valentine Flowers Office,-65.00,EUR,Office Expenses,Bloomon,BLM-ORD-234,30941.41
2025-02-15,Stripe Fees,-189.23,EUR,Bank Fees,Stripe,STR-FEE-FEB,30752.18
2025-02-15,SSL Certificate,-79.00,EUR,Software & Hosting,DigiCert,DGC-SSL-2025,30673.18
2025-02-16,Health Insurance,-245.00,EUR,Insurance,CZ Zorgverzekering,CZ-PREM-FEB,30428.18
2025-02-16,Gym Membership,-49.99,EUR,Health & Wellness,Basic-Fit,BF-MEM-FEB,30378.19
2025-02-17,Freelancer Payment,-1500.00,EUR,Contractors,John Developer,FRL-PAY-002,28878.19
2025-02-17,Miro Team,-10.00,EUR,Software & Hosting,Miro,MIR-TEAM-02,28868.19
2025-02-18,Client Payment - Mobile App,6500.00,EUR,Income,Healthcare Startup,INV-2025-011,35368.19
2025-02-18,Grammarly Business,-15.00,EUR,Software & Hosting,Grammarly Inc,GRM-BUS-02,35353.19
2025-02-19,Tax Advisor,-500.00,EUR,Professional Services,Deloitte,TAX-CON-2025,34853.19
2025-02-19,Printer Ink,-67.89,EUR,Office Expenses,MediaMarkt,MM-ORD-5678,34785.30
2025-02-20,Calendly Pro,-12.00,EUR,Software & Hosting,Calendly,CAL-PRO-FEB,34773.30
2025-02-20,Team Building Event,-345.00,EUR,Meals & Entertainment,Escape Room,ESC-GRP-001,34428.30
2025-02-21,Heroku Hosting,-50.00,EUR,Software & Hosting,Salesforce,HRK-DYN-FEB,34378.30
